session_id,worker_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Fluent languages,Nationality,Sex,Student Status
5f27f73ae90a5d0587b3e9e8,5eda2d8aac6f1d036b0aa139,APPROVED,2020-08-03 11:41:11.960000,2020-08-03 12:03:58.287000,1366.3270000000002,,180,1,100,2020-08-13 06:14:33.846000,4EDDAF87,United States,United States,Full-Time,English,,English,United States,Female,No
5f24376d9049cf0286a9730e,5ede3d4e6c21f2073a9166db,APPROVED,2020-07-31 15:23:28.962000,2020-07-31 15:39:13.454000,944.492,32.0,22,0,100,2020-07-31 20:21:46.340000,NOCODE,Canada,,Part-Time,English,,English,Canada,Female,No
5f27f7431b947305e1e99d23,5edeb16869a88015c06589e8,APPROVED,2020-08-03 11:38:45.691000,2020-08-03 11:48:29.230000,583.539,22.0,40,1,100,2020-08-13 06:14:35.989000,4EDDAF87,United Kingdom,United Kingdom,Other,English,,English,United Kingdom,Female,Yes
5f24438f4589f90008f828cd,5f0de04a8fbf010a723c826a,APPROVED,2020-07-31 16:15:11.515000,2020-07-31 16:31:57.471000,1005.956,34.0,64,0,100,2020-07-31 20:30:58.211000,NOCODE,United Kingdom,United Kingdom,Full-Time,English,,English,United Kingdom,Male,No
5f24386e0773700264b35376,5f19a28019fdf2018fe805ea,APPROVED,2020-07-31 15:27:45.188000,2020-07-31 16:01:29.930000,2024.742,20.0,20,0,100,2020-07-31 20:22:23.628000,NOCODE,United Kingdom,United Kingdom,Due to start a new job within the next month,English,,English,United Kingdom,Female,Yes
5f36b03917613a0a4bb055ff,55ee11c37480920010aaac8b,APPROVED,2020-08-14 15:39:41.466000,2020-08-14 15:48:32.725000,531.259,34.0,430,8,98,2020-08-20 06:07:28.874000,4EDDAF87,United Kingdom,United Kingdom,Full-Time,English,,English,United Kingdom,Female,No
5f36b09e2ee10f0ae4d50e67,59b51e97c59c9900018d386a,APPROVED,2020-08-14 15:41:22.656000,2020-08-14 15:58:23.118000,1020.462,64.0,103,3,98,2020-08-20 06:07:39.038000,4EDDAF87,United Kingdom,United Kingdom,Part-Time,English,,English,United Kingdom,Female,No
5f36df047dda211117f8a20a,5aae8ddfe1546900019af8d2,APPROVED,2020-08-14 18:59:19.755000,2020-08-14 19:09:54.752000,634.997,29.0,300,0,100,2020-08-20 06:08:57.161000,4EDDAF87,United Kingdom,United Kingdom,Full-Time,English,,English,United Kingdom,Male,No
5f36bdb890ff370d52d26fa7,5b0f53729663ee000145cb53,APPROVED,2020-08-14 16:37:12.809000,2020-08-14 16:46:29.730000,556.9209999999998,23.0,348,2,100,2020-08-20 06:07:55.705000,4EDDAF87,United Kingdom,United Kingdom,Part-Time,English,,English,United Kingdom,Female,Yes
5f36af9f2d97ff0ac555db7d,5e73b50788152e3197d88b1c,APPROVED,2020-08-14 15:37:21.074000,2020-08-14 15:46:36.749000,555.675,19.0,38,0,100,2020-08-20 06:07:15.585000,4EDDAF87,United Kingdom,United Kingdom,Other,English,,English,United Kingdom,Male,Yes
5f36bdb34b0c740d7509f439,5edfede50ad20d31db9bd898,APPROVED,2020-08-14 16:40:00.195000,2020-08-14 16:48:57.350000,537.155,23.0,57,1,98,2020-08-20 06:07:48.047000,4EDDAF87,United Kingdom,United Kingdom,Due to start a new job within the next month,English,English,English,United Kingdom,Female,No
5f36ad7f48a8bd0a256b2c43,5eec5b9705fb9701130453bb,APPROVED,2020-08-14 15:28:04.881000,2020-08-14 15:54:46.439000,1601.558,30.0,49,1,100,2020-08-20 06:06:52.528000,4EDDAF87,Canada,Canada,DATA EXPIRED,English,English,"English, French, German",Canada,Female,DATA EXPIRED
5f36dee768720511fbb9fd27,5ef089044e663d0ac00def4b,APPROVED,2020-08-14 19:02:57.988000,2020-08-14 19:12:14.445000,556.457,26.0,68,0,100,2020-08-20 06:08:22.545000,4EDDAF87,United Kingdom,United Kingdom,Part-Time,English,English,English,United Kingdom,Male,No
5f36df0098ced011ecd285e8,5f1b30fc4dd4ab11cf1f6503,APPROVED,2020-08-14 18:59:38.218000,2020-08-14 19:13:36.931000,838.7130000000003,24.0,10,0,100,2020-08-20 06:08:48.293000,4EDDAF87,United Kingdom,United Kingdom,Full-Time,English,,English,United Kingdom,Female,No
5f377f021ccf251f74d885df,5f2df32491f3f9141e32d89b,APPROVED,2020-08-15 06:23:09.240000,2020-08-15 06:38:30.831000,921.591,20.0,75,0,100,2020-08-20 06:09:18.027000,4EDDAF87,United States,United States,Unemployed (and job seeking),DATA EXPIRED,English,"English, Spanish, Vietnamese, Rather not say",United States,Female,Yes
5f36df03a5adc7123fd14489,576d8e821a48240001867c54,APPROVED,2020-08-14 18:59:15.074000,2020-08-14 19:11:04.692000,709.618,38.0,843,5,100,2020-08-20 06:08:55.230000,4EDDAF87,Canada,Canada,Full-Time,English,English,"Hindi, Tamil, English",Canada,Female,No
5f36afb4b7b6dd09db3f18ee,5c11aabf57fd11000128270d,APPROVED,2020-08-14 15:37:27.587000,2020-08-14 15:45:17.622000,470.035,21.0,152,0,100,2020-08-20 06:07:20.770000,4EDDAF87,United States,United States,Full-Time,English,,English,United States,Male,No
5f36bdbdd5b7e80c8db22603,5c416feae144310001075031,APPROVED,2020-08-14 16:37:17.258000,2020-08-14 17:09:39.710000,1942.452,29.0,299,1,100,2020-08-20 06:08:06.363000,4EDDAF87,Canada,Canada,Full-Time,English,,English,Canada,Male,No
5f3a2b0b1ccf255e62bebe86,5c49b156f5e26d0001479b44,APPROVED,2020-08-17 07:00:27.797000,2020-08-17 07:21:12.373000,1244.576,65.0,664,0,100,2020-08-20 06:09:34.191000,4EDDAF87,United Kingdom,United Kingdom,Part-Time,English,English,"French, English",United Kingdom,Female,No
5f36def31b714a1259a876db,5c72aec2aa7a7700018f25c8,APPROVED,2020-08-14 19:03:42.215000,2020-08-14 19:18:20.105000,877.89,58.0,549,0,100,2020-08-20 06:08:34.888000,4EDDAF87,United Kingdom,United Kingdom,Full-Time,English,English,English,United Kingdom,Female,No
5f36b0cb98f8170a4b3ddec4,5d30c8b1199439001804cb53,APPROVED,2020-08-14 15:42:06.325000,2020-08-14 15:52:40.609000,634.284,38.0,106,3,97,2020-08-20 06:07:42.641000,4EDDAF87,United Kingdom,United Kingdom,Part-Time,English,,English,United Kingdom,Female,No
5f36ae9bb12c9a0ab1497a89,5d8b35eebb2405000106ff4a,APPROVED,2020-08-14 15:34:28.020000,2020-08-14 15:46:22.966000,714.946,58.0,88,0,100,2020-08-20 06:07:00.511000,4EDDAF87,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,,English,DATA EXPIRED,Female,No
5f36b04c0a40d90a3055226a,5e2f8227b9a45e53a411f373,APPROVED,2020-08-14 15:39:59.707000,2020-08-14 15:47:32.863000,453.156,27.0,139,1,100,2020-08-20 06:07:30.747000,4EDDAF87,Canada,Canada,Full-Time,English,,"English, Polish",Canada,Female,No
5f36ac89f09c9f0afb02f8be,5e712b248dde4e036c56feda,APPROVED,2020-08-14 15:23:56.110000,2020-08-14 15:35:01.592000,665.482,28.0,45,1,99,2020-08-20 06:06:48.773000,4EDDAF87,United Kingdom,United Kingdom,Unemployed (and job seeking),English,,English,United Kingdom,Female,Yes
5f36bdbdc8349c0d08b71aa5,5eab8ad6bca91216d98ca785,APPROVED,2020-08-14 16:37:17.649000,2020-08-14 16:56:11.014000,1133.365,19.0,104,0,100,2020-08-20 06:08:04.615000,4EDDAF87,China,United Kingdom,Unemployed (and job seeking),English,,"English, Chinese",United Kingdom,Female,Yes
